"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SPICEMODEL";"SPICEPREFIX";"SPICETYPE";"SUPPLIER";"TP_SIGNAL_NAME";
"R40";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R41";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R42";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R43";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R44";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R45";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R46";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R47";"47k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R48";"150k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R49";"4k7";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R50";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R51";"47k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R52";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R53";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R54";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R55";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R56";"1M";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R57";"390k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R58";"150k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R59";"150k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R60";"470k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R61";"470k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"S1";"RESET";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"B3F-1000";"176432";"36M3542";"";"";"";"";"";"";
"S2";"POWER_SWITCH";"SWS001";"SMS-001";"SMD Dip Switch 1 pol.";"";"";"";"";"";"";"";"";"";"";"";
"S3";"MICROJOYSTICK";"MICROJOYSTICK";"MICROJOYSTICK";"";"";"";"";"";"";"";"";"";"";"";"";
"S4";"gprs";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"B3F-1000";"176432";"36M3542";"";"";"";"";"";"";
"S5";"bt";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"";"B3F-1000";"176432";"36M3542";"";"";"";"";"";"";
"T1";"BSS84";"BSS84";"SOT23";"P-CHANNEL MOS FET";"";"";"";"";"";"";"";"";"";"";"";
"TP1";"GND";"TPPAD1-17Y";"P1-17Y";"Test pad";"";"";"";"";"";"";"";"";"";"";"";
"TP2";"VCC";"PTR1TP14R";"TP14R";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";
"TP3";"Analogue Switch CRTL Pin";"PTR1TP14R";"TP14R";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";
"TP4";"VCC";"PTR1TP14R";"TP14R";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";
"TP5";"GPS Power CTRL Pin";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";
"TP6";"GPS Power CTRL Pin";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";
"TP7";"SIM800 Power CTRL Pin";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";
"TP8";"VLiIon Regulated";"PTR1TP14R";"TP14R";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";
"TP9";"Bluetooth Wakeup Pin";"PTR1TP14R";"TP14R";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";
"TP10";"VGPS";"PTR1TP14R";"TP14R";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";
"TP11";"VGPS";"PTR1TP14R";"TP14R";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";
"U$1";"F/UCW03F";"F/UCW03F";"F/UCW03LF";"";"";"";"";"";"";"";"";"";"";"";"";
